MLBAMID,PlayerId,Name,Team,Age,Season,TBF,K%
608723,15047,Austin Voth,SEA,32,2024,248,0.24596774
669854,19407,Ronel Blanco,HOU,30,2024,676,0.24556213
573204,10078,Caleb Thielbar,MIN,37,2024,216,0.24537037
523260,9761,Joe Kelly,LAD,36,2024,143,0.24475524
657097,19274,Jacob Webb,BAL,30,2024,237,0.24472574
689225,26079,Beau Brieske,DET,26,2024,282,0.24468085
661403,21032,Emmanuel Clase,CLE,26,2024,270,0.24444444
621237,17780,José Alvarado,PHI,29,2024,258,0.24418605
458677,4301,Justin Wilson,CIN,36,2024,209,0.24401914
694297,27782,Brandon Pfaadt,ARI,25,2024,760,0.24342105
622491,15689,Luis Castillo,SEA,31,2024,719,0.2433936
657006,17312,Justin Steele,CHC,28,2024,555,0.24324324
674370,23150,Osvaldo Bido,OAK,28,2024,259,0.24324324
805673,31827,Zebby Matthews,MIN,24,2024,177,0.24293785
682243,29837,Bryce Miller,SEA,25,2024,704,0.24289773
647336,18383,Michael Soroka,CHW,26,2024,347,0.24207493
689017,27487,Landon Knack,LAD,26,2024,286,0.24125874
642701,17878,Dennis Santana,- - -,28,2024,287,0.24041812
664285,17295,Framber Valdez,HOU,30,2024,703,0.24039829
605400,16149,Aaron Nola,PHI,31,2024,820,0.2402439
666214,19962,Joey Wentz,- - -,26,2024,304,0.24013158
678495,23974,Randy Rodríguez,SFG,24,2024,221,0.239819
614179,14552,José Ruiz,PHI,29,2024,217,0.23963134
607455,14706,Anthony Banda,LAD,30,2024,209,0.23923445
571948,13346,Hoby Milner,MIL,33,2024,268,0.23880597
543135,9132,Nathan Eovaldi,TEX,34,2024,696,0.23850575
450203,4676,Charlie Morton,ATL,40,2024,701,0.2382311
668909,30122,Gavin Williams,CLE,24,2024,332,0.23795181
664126,17998,Pete Fairbanks,TBR,30,2024,185,0.23783784
657649,27517,Jared Koenig,MIL,30,2024,265,0.23773585
519151,7005,Ryan Pressly,HOU,35,2024,244,0.23770492
660853,18403,Enyel De Los Santos,- - -,28,2024,278,0.23741007
683769,25636,Hunter Gaddis,CLE,26,2024,278,0.23741007
669713,27581,Hayden Wesneski,CHC,26,2024,283,0.23674912
681869,24977,Shawn Dubin,HOU,28,2024,207,0.23671498
608032,14542,Carlos Estévez,- - -,31,2024,212,0.23584906
506433,13074,Yu Darvish,SDP,37,2024,331,0.23564955
605121,16201,Justin Anderson,CHW,31,2024,242,0.23553719
686539,25645,Declan Cronin,MIA,26,2024,306,0.23529412
623211,6107,Huascar Brazobán,- - -,34,2024,217,0.23502304
592155,16061,Cam Booser,BOS,32,2024,183,0.23497268
571656,14814,Buck Farmer,CIN,33,2024,299,0.23411371
552640,12828,Andrew Kittredge,STL,34,2024,287,0.23344948
660761,19911,José Suarez,LAA,26,2024,240,0.23333333
608331,13743,Max Fried,ATL,30,2024,714,0.232493
690829,31461,Ben Joyce,LAA,23,2024,142,0.23239437
658648,18864,Pedro Avila,- - -,27,2024,353,0.23229462
624133,17277,Ranger Suárez,PHI,28,2024,626,0.23162939
684320,33838,Yariel Rodríguez,TOR,27,2024,368,0.23097826
669203,19361,Corbin Burnes,BAL,29,2024,784,0.23086735
676710,20531,Kutter Crawford,BOS,28,2024,759,0.23056653
605347,14527,Jorge López,- - -,31,2024,217,0.23041475
669923,25436,George Kirby,SEA,26,2024,778,0.23007712
668338,19976,Tyson Miller,- - -,28,2024,235,0.22978723
663776,19447,Patrick Sandoval,LAA,27,2024,353,0.22946176
571760,15423,Andrew Heaney,TEX,33,2024,693,0.22943723
642048,17888,Tayler Saucedo,SEA,31,2024,166,0.22891566
663158,30115,Robert Suarez,SDP,33,2024,258,0.22868217
641482,17874,Nestor Cortes,NYY,29,2024,710,0.22816901
608371,13470,Lucas Sims,- - -,30,2024,215,0.22790698
664747,21132,Alexis Díaz,CIN,27,2024,242,0.22727273
674003,27597,Cody Bradford,TEX,26,2024,308,0.22727273
592866,16977,Trevor Williams,WSN,32,2024,260,0.22692308
687330,25679,Kevin Kelly,TBR,26,2024,278,0.22661871
664208,18064,Phil Maton,- - -,31,2024,265,0.22641509
693312,27775,Kyle Nicolas,PIT,25,2024,243,0.22633745
453286,3137,Max Scherzer,TEX,39,2024,177,0.2259887
593423,14309,Frankie Montas,- - -,31,2024,655,0.2259542
670102,20548,Bowden Francis,TOR,28,2024,408,0.2254902
641771,14975,Chad Kuhl,CHW,31,2024,240,0.225
679525,27451,Alec Marsh,KCR,26,2024,548,0.22445255
663738,21537,Daniel Lynch IV,KCR,27,2024,174,0.22413793
670950,19309,Trevor Richards,- - -,31,2024,277,0.22382671
542888,12857,Shawn Armstrong,- - -,33,2024,295,0.22372881
656412,19874,Alex Faedo,DET,28,2024,246,0.22357724
669084,22207,DL Hall,MIL,25,2024,197,0.22335025
668964,22191,Tobias Myers,MIL,25,2024,569,0.22319859
663903,25377,Brady Singer,KCR,27,2024,762,0.22309711
663546,21481,Sean Hjelle,SFG,27,2024,337,0.22255193
665152,19350,Dean Kremer,BAL,28,2024,553,0.22242315
690986,27758,Kyle Harrison,SFG,22,2024,532,0.22180451
605135,12304,Chris Bassitt,TOR,35,2024,758,0.22163588
640448,15009,Kyle Finnegan,WSN,32,2024,271,0.22140221
670280,19569,David Bednar,PIT,29,2024,262,0.22137405
669711,20375,Greg Weissert,BOS,29,2024,263,0.22053232
600986,14510,Thyago Vieira,- - -,31,2024,177,0.22033898
657024,16587,Erik Swanson,TOR,30,2024,168,0.2202381
669387,27572,Carmen Mlodzinski,PIT,25,2024,209,0.22009569
657508,20206,Mike Baumann,- - -,28,2024,264,0.21969697
643338,15552,Chad Green,TOR,33,2024,210,0.21904762
573009,14857,Joe Mantiply,ARI,33,2024,243,0.218107
676684,19769,Will Vest,DET,29,2024,289,0.21799308
677960,23796,Ryan Weathers,MIA,24,2024,367,0.21798365
678394,23920,Brayan Bello,BOS,25,2024,702,0.21794872
592767,11760,Drew Smyly,CHC,35,2024,257,0.21789883
571946,10197,Shelby Miller,DET,33,2024,225,0.21777778
663474,18000,Triston McKenzie,CLE,26,2024,340,0.21764706
663947,26231,Tyler Holton,DET,28,2024,354,0.21751412
681857,24968,Reese Olson,DET,24,2024,465,0.2172043
676428,30133,Brant Hurter,DET,25,2024,175,0.21714286
694738,30076,Landen Roupp,SFG,25,2024,217,0.21658986
607625,12447,Seth Lugo,KCR,34,2024,836,0.21650718
670990,19444,Yohan Ramírez,- - -,29,2024,208,0.21634615
669358,22264,Shane Baz,TBR,25,2024,319,0.21630094
650644,19479,Aaron Civale,- - -,29,2024,689,0.21625544
641540,19409,Dane Dunning,TEX,29,2024,421,0.21615202
621363,19403,Colin Poche,TBR,30,2024,153,0.21568627
655889,20794,Manuel Rodríguez,TBR,27,2024,158,0.21518987
641793,15823,Zack Littell,TBR,28,2024,656,0.21493902
656605,17594,Mitch Keller,PIT,28,2024,773,0.21474774
592332,14107,Kevin Gausman,TOR,33,2024,756,0.21428571
693433,30279,Bryan Woo,SEA,24,2024,472,0.21398305
608334,18311,Carson Fulmer,LAA,30,2024,379,0.21372032
663436,21448,Davis Martin,CHW,27,2024,220,0.21363636
458681,2520,Lance Lynn,STL,37,2024,511,0.21330724
688297,31261,Chris Roycroft,STL,27,2024,155,0.21290323
663362,25550,Matt Waldron,SDP,27,2024,625,0.2128
669461,22294,Matthew Liberatore,STL,24,2024,358,0.2122905
607200,17425,Erick Fedde,- - -,31,2024,726,0.21212121
608379,14078,Michael Wacha,KCR,32,2024,685,0.21167883
666200,19959,Jesús Luzardo,MIA,26,2024,274,0.21167883
622663,15890,Luis Severino,NYM,30,2024,761,0.21156373
666129,21844,Braxton Garrett,MIA,26,2024,161,0.21118012
683409,26790,Angel Chivilli,COL,21,2024,133,0.21052632
518876,11156,Merrill Kelly,ARI,35,2024,300,0.21
668941,19574,JoJo Romero,STL,27,2024,243,0.20987654
593958,13164,Eduardo Rodriguez,ARI,31,2024,224,0.20982143
672578,22713,Carlos Hernández,KCR,27,2024,129,0.20930233
502043,10123,Kyle Gibson,STL,36,2024,722,0.20914127
669721,27582,Davis Daniel,LAA,27,2024,134,0.20895522
676702,23455,Hunter Stratton,PIT,27,2024,158,0.20886076
472610,6984,Luis García,- - -,37,2024,254,0.20866142
621051,20353,Steven Wilson,CHW,29,2024,163,0.20858896
445926,5448,Jesse Chavez,ATL,40,2024,264,0.20833333
656641,21306,Jacob Latz,TEX,28,2024,192,0.20833333
571882,13133,Derek Law,WSN,33,2024,365,0.20821918
656557,19879,Tanner Houck,BOS,28,2024,743,0.20726783
667755,22100,José Soriano,LAA,25,2024,468,0.20726496
665625,21652,Elvis Peguero,MIL,27,2024,227,0.20704846
595345,13580,Steven Okert,MIN,32,2024,160,0.20625
680730,27636,Mitchell Parker,WSN,24,2024,646,0.20588235
686973,27691,Louie Varland,MIN,26,2024,238,0.20588235
663978,20099,Chris Paddack,MIN,28,2024,384,0.20572917
680573,24494,Simeon Woods Richardson,MIN,23,2024,569,0.2056239
605452,12972,Joe Ross,MIL,31,2024,321,0.20560748
608638,13767,JT Chargois,- - -,33,2024,146,0.20547945
670167,20020,John Schreiber,KCR,30,2024,224,0.20535714
672582,22717,Angel Zerpa,KCR,24,2024,239,0.20502092
663773,26304,Bryan Hoeing,- - -,27,2024,210,0.2047619
657277,17995,Logan Webb,SFG,27,2024,841,0.20451843
669372,27889,J.T. Ginn,OAK,25,2024,142,0.20422535
669212,20203,Eli Morgan,CLE,28,2024,167,0.20359281
693821,27779,Bryce Elder,ATL,25,2024,226,0.20353982
607259,12730,Nick Martinez,CIN,33,2024,570,0.20350877
642546,17464,Jonathan Hernández,- - -,27,2024,192,0.203125
680767,24614,Victor Vodnik,COL,24,2024,320,0.203125
650911,20778,Cristopher Sánchez,PHI,27,2024,754,0.20291777
663623,21504,Jake Irvin,WSN,27,2024,769,0.20286086
676775,23499,Keaton Winn,SFG,26,2024,238,0.20168067
596001,13619,Jakob Junis,- - -,31,2024,253,0.20158103
676272,27483,Bobby Miller,LAD,25,2024,258,0.20155039
663687,21520,Hogan Harris,OAK,27,2024,305,0.2
669194,26253,Ryne Nelson,ARI,26,2024,630,0.2
694813,27792,Gavin Stone,LAD,25,2024,580,0.2
663855,19618,Jordan Hicks,SFG,27,2024,481,0.1995842
663372,21446,Ryan Feltner,COL,27,2024,692,0.19942197
471911,6632,Carlos Carrasco,CLE,37,2024,447,0.19910515
681892,24993,Kody Funderburk,MIN,27,2024,161,0.19875776
606930,12323,Jacob Barnes,WSN,34,2024,277,0.19855596
663704,21527,James McArthur,KCR,27,2024,247,0.19838057
696136,30094,Jordan Wicks,CHC,24,2024,212,0.19811321
656849,20302,David Peterson,NYM,28,2024,510,0.19803922
681035,30107,Christian Scott,NYM,25,2024,197,0.19796954
628317,18498,Kenta Maeda,DET,36,2024,485,0.19793814
641302,17735,Tyler Alexander,TBR,29,2024,455,0.1978022
700249,30055,Cade Povich,BAL,24,2024,352,0.19602273
621107,13774,Zach Eflin,- - -,30,2024,684,0.19590643
592351,14916,Jon Gray,TEX,32,2024,439,0.19589977
519043,1890,Matt Moore,LAA,35,2024,210,0.1952381
686730,27685,Carson Spiers,CIN,26,2024,410,0.19512195
621244,14168,José Berríos,TOR,30,2024,786,0.19465649
671096,29911,Andrew Abbott,CIN,25,2024,586,0.19453925
665871,21741,Javier Assad,CHC,26,2024,638,0.19435737
519326,7836,Hunter Strickland,LAA,35,2024,294,0.19387755
678606,24017,Jose A. Ferrer,WSN,24,2024,129,0.19379845
518397,10591,Scott Alexander,OAK,34,2024,160,0.19375
687765,27707,Mitch Spence,OAK,26,2024,651,0.19354839
672335,19614,Cionel Pérez,BAL,28,2024,238,0.19327731
682847,27646,Luis L. Ortiz,PIT,25,2024,556,0.19244604
657044,16647,Ryan Thompson,ARI,32,2024,272,0.19117647
544150,6175,Albert Suárez,BAL,34,2024,565,0.19115044
572143,12784,Burch Smith,- - -,34,2024,241,0.19087137
663432,17610,Tanner Rainey,WSN,31,2024,231,0.19047619
670124,20132,Adam Oller,MIA,29,2024,189,0.19047619
623433,18337,Nick Anderson,KCR,33,2024,153,0.18954248
677944,27500,Slade Cecconi,ARI,25,2024,338,0.18934911
607067,12317,Colin Rea,MIL,33,2024,714,0.18907563
500779,11423,Jose Quintana,NYM,35,2024,717,0.18828452
672710,22810,Roansy Contreras,- - -,24,2024,298,0.18791946
672456,22630,Keider Montero,DET,23,2024,412,0.1868932
434378,8700,Justin Verlander,HOU,41,2024,396,0.18686869
621112,14739,Paul Blackburn,- - -,30,2024,316,0.18670886
594902,14932,Ben Lively,CLE,32,2024,632,0.18670886
663893,21574,Brendon Little,TOR,27,2024,193,0.1865285
621111,19374,Walker Buehler,LAD,29,2024,344,0.18604651
542881,12880,Tyler Anderson,LAA,34,2024,765,0.18562092
669060,19990,Bryse Wilson,MIL,26,2024,442,0.18552036
676974,27474,Max Meyer,MIA,25,2024,248,0.18548387
592791,11674,Jameson Taillon,CHC,32,2024,675,0.18518519
608718,13942,Brent Suter,CIN,34,2024,270,0.18518519
663568,21487,Stephen Kolek,SDP,27,2024,211,0.18483412
682610,25311,Roddery Muñoz,MIA,24,2024,379,0.18469657
669467,26108,Andre Pallante,STL,25,2024,509,0.18467583
650893,17490,Génesis Cabrera,TOR,27,2024,271,0.18450185
671345,19531,Jason Foley,DET,28,2024,250,0.184
696131,30171,Mason Black,SFG,24,2024,169,0.18343195
702352,30226,Spencer Bivens,SFG,30,2024,202,0.18316832
673929,29950,Jordan Leasure,CHW,25,2024,142,0.18309859
671106,27589,Logan Allen,CLE,25,2024,432,0.18287037
571578,9323,Patrick Corbin,WSN,34,2024,764,0.18193717
621199,13528,Matt Bowman,- - -,33,2024,132,0.18181818
527048,6902,Martín Pérez,- - -,33,2024,590,0.18135593
547179,14843,Michael Lorenzen,- - -,32,2024,536,0.18097015
676664,23429,JP Sears,OAK,28,2024,758,0.18073879
477132,2036,Clayton Kershaw,LAD,36,2024,133,0.18045113
664299,17606,Cristian Javier,HOU,27,2024,150,0.18
683004,30146,Jack Leiter,TEX,24,2024,173,0.17919075
607179,13190,Jordan Weems,WSN,31,2024,196,0.17857143
663567,17969,Peter Lambert,COL,27,2024,280,0.17857143
670174,22387,Josh Winckowski,BOS,26,2024,336,0.17857143
666205,20167,Kyle Muller,OAK,26,2024,202,0.17821782
665622,21649,Luis Medina,OAK,25,2024,180,0.17777778
622072,13781,Alex Wood,OAK,33,2024,186,0.17741935
663992,19337,Richard Lovelady,- - -,28,2024,147,0.17687075
656222,17192,Jalen Beeks,- - -,30,2024,312,0.17628205
667725,22092,Kyle Tyler,MIA,27,2024,142,0.17605634
656288,19867,Griffin Canning,LAA,28,2024,739,0.1759134
643511,15541,Tyler Rogers,SFG,33,2024,290,0.17586207
663969,20629,Tyler Phillips,PHI,26,2024,160,0.175
694363,27472,Jared Shuster,CHW,25,2024,321,0.17445483
686563,31730,Jonathan Cannon,CHW,23,2024,522,0.1743295
623167,13896,Chris Flexen,CHW,29,2024,707,0.17397454
571927,13361,Steven Matz,STL,33,2024,190,0.17368421
630023,16401,Yonny Chirinos,MIA,30,2024,144,0.17361111
607536,16256,Kyle Freeland,COL,31,2024,490,0.17346939
681517,24763,Kyle Leahy,STL,27,2024,191,0.17277487
669432,22286,Trevor Rogers,- - -,26,2024,562,0.17259786
663554,20492,Casey Mize,DET,27,2024,452,0.17256637
681867,24975,Cooper Criswell,BOS,27,2024,424,0.17216981
571670,13394,Dylan Floro,- - -,33,2024,279,0.17204301
547184,12791,Michael Kelly,OAK,31,2024,128,0.171875
695076,33876,Rhett Lowder,CIN,22,2024,128,0.171875
608717,13761,Chris Stratton,KCR,33,2024,257,0.17120623
571945,9803,Miles Mikolas,STL,35,2024,720,0.16944444
683155,26257,Joey Estes,OAK,22,2024,543,0.1694291
680736,31204,Justin Wrobleski,LAD,23,2024,154,0.16883117
615698,19312,Cal Quantrill,COL,29,2024,656,0.16768293
656234,21267,Jake Bird,COL,28,2024,185,0.16756757
573186,13431,Marcus Stroman,NYY,33,2024,675,0.16740741
572020,11828,James Paxton,- - -,35,2024,437,0.16704805
543518,12056,Scott McGough,ARI,34,2024,150,0.16666667
641745,15734,Brad Keller,- - -,28,2024,192,0.16666667
596295,16561,Austin Gomber,COL,30,2024,696,0.16666667
519008,3237,T.J. McFarland,OAK,35,2024,235,0.16595745
674072,26285,Tommy Henry,ARI,26,2024,182,0.16483516
502624,6895,Chase Anderson,- - -,36,2024,255,0.16470588
663559,20070,Bailey Falter,PIT,27,2024,589,0.16468591
622253,17796,Dillon Tate,- - -,30,2024,164,0.16463415
642232,16502,Ryan Yarbrough,- - -,32,2024,398,0.16331658
668933,27552,Graham Ashcraft,CIN,26,2024,350,0.16285714
675540,25595,Xzavion Curry,- - -,25,2024,172,0.1627907
685299,27669,Tanner Gordon,COL,26,2024,160,0.1625
661527,21045,Seth Martinez,HOU,29,2024,222,0.16216216
664875,17639,Justin Lawrence,COL,29,2024,279,0.16129032
608344,19244,Cole Irvin,- - -,30,2024,492,0.15853659
647315,20185,Zach Pop,TOR,27,2024,209,0.15789474
666745,25386,Jhony Brito,SDP,26,2024,185,0.15675676
656756,16511,Jordan Montgomery,ARI,31,2024,532,0.15601504
519293,8048,Will Smith,KCR,34,2024,186,0.15591398
663765,18674,Jake Woodford,- - -,27,2024,167,0.15568862
683627,26952,Anthony Molina,COL,22,2024,264,0.15530303
